type,index,text,start,end,duration,importance,confidence,sentence_index
word,0,Have,0.031,0.251,0.220,low,0.741,0
word,1,you,0.291,0.371,0.080,low,0.980,0
word,2,ever,0.391,0.532,0.141,low,0.886,0
word,3,wondered,0.572,0.952,0.380,low,0.859,0
word,4,why,0.992,1.132,0.140,low,0.930,0
word,5,modern,1.212,1.513,0.301,low,0.934,0
word,6,servers,1.553,1.893,0.340,low,0.808,0
word,7,can,1.913,2.053,0.140,low,0.974,0
word,8,have,2.093,2.233,0.140,low,0.940,0
word,9,a,2.294,2.314,0.020,low,0.897,0
word,10,100,2.334,2.774,0.440,high,0.736,0
word,11,gigabit,2.834,3.174,0.340,low,0.721,0
word,12,network,3.215,3.535,0.320,low,0.771,0
word,13,"card,",3.555,3.795,0.240,low,0.852,0
word,14,but,4.075,4.196,0.121,low,0.913,0
word,15,still,4.256,4.476,0.220,low,0.822,0
word,16,struggle,4.536,4.856,0.320,low,0.833,0
word,17,to,4.876,4.956,0.080,low,0.782,0
word,18,process,4.997,5.357,0.360,low,0.879,0
word,19,every,5.377,5.797,0.420,low,0.890,0
word,20,packet,5.837,6.138,0.301,low,0.967,0
word,21,at,6.198,6.258,0.060,low,0.986,0
word,22,line,6.298,6.498,0.200,low,0.448,0
word,23,rate?,6.518,6.718,0.200,low,0.801,0
word,24,The,7.459,7.559,0.100,medium,0.748,1
word,25,answer,7.659,7.900,0.241,low,0.776,1
word,26,isn't,7.980,8.140,0.160,low,0.913,1
word,27,that,8.160,8.280,0.120,low,0.823,1
word,28,Linux,8.340,8.621,0.281,low,0.798,1
word,29,is,8.681,8.741,0.060,low,0.745,1
word,30,slow.,8.761,9.041,0.280,low,0.930,1
word,31,It's,9.602,9.702,0.100,low,0.919,2
word,32,that,9.742,9.902,0.160,low,0.924,2
word,33,the,9.922,10.002,0.080,low,0.667,2
word,34,traditional,10.042,10.483,0.441,low,0.925,2
word,35,networking,10.543,10.963,0.420,low,0.898,2
word,36,path,11.003,11.263,0.260,low,0.816,2
word,37,does,11.384,11.544,0.160,low,0.624,2
word,38,a,11.604,11.624,0.020,low,0.999,2
word,39,lot,11.684,11.904,0.220,low,0.983,2
word,40,of,11.984,12.024,0.040,low,1.000,2
word,41,work,12.104,12.325,0.221,low,0.836,2
word,42,for,12.405,12.525,0.120,low,0.944,2
word,43,every,12.565,13.045,0.480,medium,0.836,2
